route,type,html_exists,canonical,canonical_ok,robots,robots_ok,h1_count,h1,v2_shell,design_lab_links,duplicate_ids,broken_media,status,notes
/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/,product,true,/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/,true,"index, follow",true,1,Стол со скамьями Орбита,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-blok/,product,true,/ulichnaya-mebel/urny/urna-blok/,true,"index, follow",true,1,Урна Блок,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-ellips/,product,true,/ulichnaya-mebel/urny/urna-ellips/,true,"index, follow",true,1,Урна Эллипс,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-kolonna/,product,true,/ulichnaya-mebel/urny/urna-kolonna/,true,"index, follow",true,1,Урна Колонна,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-layn/,product,true,/ulichnaya-mebel/urny/urna-layn/,true,"index, follow",true,1,Урна Лайн,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-monolit/,product,true,/ulichnaya-mebel/urny/urna-monolit/,true,"index, follow",true,1,Урна Монолит,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-panel/,product,true,/ulichnaya-mebel/urny/urna-panel/,true,"index, follow",true,1,Урна Панель,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-profil/,product,true,/ulichnaya-mebel/urny/urna-profil/,true,"index, follow",true,1,Урна Профиль,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-slim/,product,true,/ulichnaya-mebel/urny/urna-slim/,true,"index, follow",true,1,Урна Слим,true,0,0,0,pass,
/ulichnaya-mebel/urny/urna-vertikal/,product,true,/ulichnaya-mebel/urny/urna-vertikal/,true,"index, follow",true,1,Урна Вертикаль,true,0,0,0,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/,product,true,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/,true,"index, follow",true,1,Вазон Горизонт,true,0,0,0,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/,product,true,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/,true,"index, follow",true,1,Вазон Кольцо,true,0,0,0,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/,product,true,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/,true,"index, follow",true,1,Вазон Контур,true,0,0,0,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/,product,true,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/,true,"index, follow",true,1,Вазон Лента,true,0,0,0,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/,product,true,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/,true,"index, follow",true,1,Вазон Овал,true,0,0,0,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/,product,true,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/,true,"index, follow",true,1,Вазон Ритм,true,0,0,0,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/,product,true,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/,true,"index, follow",true,1,Вазон Софт,true,0,0,0,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-duga/,product,true,/ulichnaya-mebel/veloparkovki/veloparkovka-duga/,true,"index, follow",true,1,Велопарковка Дуга,true,0,0,0,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-marker/,product,true,/ulichnaya-mebel/veloparkovki/veloparkovka-marker/,true,"index, follow",true,1,Велопарковка Маркер,true,0,0,0,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-pik/,product,true,/ulichnaya-mebel/veloparkovki/veloparkovka-pik/,true,"index, follow",true,1,Велопарковка Пик,true,0,0,0,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/,product,true,/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/,true,"index, follow",true,1,Велопарковка Пилон,true,0,0,0,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/,product,true,/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/,true,"index, follow",true,1,Велопарковка Рамка,true,0,0,0,pass,
/vypolnennye-obekty/,projects-archive,true,/vypolnennye-obekty/,true,"index, follow",true,1,Выполненные объекты,true,0,0,0,pass,
/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,project,true,/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,true,"index, follow",true,1,Благоустройство набережной реки Тобол,true,0,0,0,pass,
/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/,project,true,/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/,true,"index, follow",true,1,Городские качели для общественных территорий,true,0,0,0,pass,
/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,project,true,/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,true,"index, follow",true,1,Комплекс работ на производственной территории,true,0,0,0,pass,
/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/,project,true,/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/,true,"index, follow",true,1,Частичный ремонт сквера на улице Гоголя,true,0,0,0,pass,
/o-nas/,company,true,/o-nas/,true,"index, follow",true,1,"Изделия, конструкции и работы под задачу объекта",true,0,0,0,pass,
/kontakty/,contacts,true,/kontakty/,true,"index, follow",true,1,Контакты,true,0,0,0,pass,
/vakansii/,vacancies,true,/vakansii/,true,"index, follow",true,1,Вакансии,true,0,0,0,pass,
/vakansii/svarshchik-metallokonstruktsiy/,vacancy,true,/vakansii/svarshchik-metallokonstruktsiy/,true,"index, follow",true,1,Сварщик металлоконструкций,true,0,0,0,pass,
/politika-konfidencialnosti/,privacy,true,/politika-konfidencialnosti/,true,"index, follow",true,1,Политика конфиденциальности и обработки персональных данных,true,0,0,0,pass,
/izgotovlenie-na-zakaz/,custom-order,true,/izgotovlenie-na-zakaz/,true,"index, follow",true,1,Изготовление под задачу объекта,true,0,0,0,pass,
/lavochki-i-skameyki/,legacy,true,/ulichnaya-mebel/lavochki-i-skameyki/,true,"noindex, nofollow",true,1,Лавочки и скамейки,true,0,0,0,pass,
/urny/,legacy,true,/ulichnaya-mebel/urny/,true,"noindex, nofollow",true,1,Урны,true,0,0,0,pass,
/navesy/,legacy,true,/navesy-i-kozyrki/,true,"noindex, nofollow",true,1,Навесы и козырьки,true,0,0,0,pass,
/404.html,404,true,,true,"noindex, nofollow",true,1,Страница не найдена,true,0,0,0,pass,
